title,editor,author,contributor,shelfmark,page,place of publishing,year of publishing,issuance,identifier,licence,geographic place,city,risorsa
Palermo – Villa Tasca,"L. Sandron, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,241,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (241),CC BY SA 4.0,"Villa Tasca, Palermo",Palermo,43223488584
Palermo – Villa Tasca,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,243,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (243),CC BY SA 4.0,"Villa Tasca, Palermo",Palermo,43223534564
Saluti Palermo – Villa Tasca, ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,250,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (250),CC BY SA 4.0,"Villa Tasca, Palermo",Palermo,43223675984
Saluti Palermo – Villa Tasca, ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,248,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (248),CC BY SA 4.0,"Villa Tasca, Palermo",Palermo,43223676274
Palermo – Villa Belmonte,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,127,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (127),CC BY SA 4.0,"Villa Belmonte, Acquasanta, Palermo",Palermo,43244638982
Palermo – Villino Bacchi Salerno,"G. Valdes, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,134,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (134),CC BY SA 4.0,"villino Bacchi Salerno, Via Siracusa, Palermo",Palermo,43265480402
Palermo - Villa d'Aumale,"Dr. Trenkler Co, Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,142,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (142),CC BY SA 4.0,"parco d'Orleans, Villa d'Aumale, Palermo",Palermo,43286881532
Palermo – Villa Belmonte,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,124,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (124),CC BY SA 4.0,"Villa Belmonte, Acquasanta, Palermo",Palermo,43292623711
Palermo – Acqua Santa,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,125,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (125),CC BY SA 4.0,"Villa Belmonte, Acquasanta, Palermo",Palermo,43294178181
Palermo - Palazzo Butera,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,153,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (153),CC BY SA 4.0,"Palazzo Butera, Palermo",Palermo,43309801612
Palermo – Villino Castellano (Arch. Ernesto Armò),"G. Valdes, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,130,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (130),CC BY SA 4.0,"Villino Castellano, Via Notarbartolo, Palermo",Palermo,43314727411
Palermo – Cascina Belmonte alla Noce,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,133,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (133),CC BY SA 4.0,"Cascina Belmonte, Noce, Palermo",Palermo,43315140581
Palermo - Villa d'Orleans,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,148,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (148),CC BY SA 4.0,"Palazzo d'Orleans, Villa d'Orleans, Palermo",Palermo,43358224911
Palermo - Villa Sofia,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,151,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (151),CC BY SA 4.0,"Villa Sofia, Palermo",Palermo,43358343481
Palermo - Palazzo Butera,"G. Valdes, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,155,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (155),CC BY SA 4.0,"Palazzo Butera, Palermo",Palermo,43358468571
Palermo - Villa Igea, ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,332,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (332),CC BY SA 4.0,"Villa Igiea, Palermo",Palermo,43517442980
"Palermo - Villa Igea, Grand Hotel","L. Sandron, Palermo ","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,331,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (331),CC BY SA 4.0,"Villa Igiea, Palermo",Palermo,43517443660
Palermo – Villa Igea, ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,330,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (330),CC BY SA 4.0,"Villa Igiea, Palermo",Palermo,43517444230
Grand Hotel Villa Igiea – saluti da Palermo, ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,329,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (329),CC BY SA 4.0,"Villa Igiea, Palermo",Palermo,43517444830
Palermo - Villa Igiea veduta dall'Arenella, ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,328,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (328),CC BY SA 4.0,"Villa Igiea, Palermo",Palermo,43517445170
"Villa Igiea, Grand Hotel","G.Valdes, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,327,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (327),CC BY SA 4.0,"Villa Igiea, Palermo",Palermo,43517445370
Palermo – Villa Igiea – Grand Hotel,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,326,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (326),CC BY SA 4.0,"Villa Igiea, Palermo",Palermo,43517445630
Palermo – Villa Igiea,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,325,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (325),CC BY SA 4.0,"Villa Igiea, Palermo",Palermo,43517445890
Palermo - Cameriere del Caffè Trinacria Romeres, ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,394,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (394),CC BY SA 4.0,"Caffè Trinacria Romeres, Palermo",Palermo,43542128790
Palermo - Hotel Pension Panormus,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,394,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (394),CC BY SA 4.0,"Hotel Pension Panormus, Palermo",Palermo,43542129070
Palermo - Palazzo Tribunali e Hotel de France,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,391,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (391),CC BY SA 4.0,"Palazzo Tribunali, Hotel de France, Palermo",Palermo,43542129730
